Image,s1,s2,s3,s4,s5,s6,s7,label
1,"3,127","7,7885","11,1889","12,1351","-23,839","-16,1918","24,1749",000
2,"3,1312","7,8751","11,2849","12,2091","-24,3325","-16,2294","-23,9983",000
3,"3,121","8,518","10,6495","12,0644","23,6064","-16,3645","-23,5422",000
4,"3,1155","8,6059","10,8936","11,7846","23,1282","-16,1178","23,9666",000
5,"3,1397","9,3281","10,9684","12,1681","24,7309","-16,8387","23,7386",000
6,"3,1255","8,8385","11,048","11,8678","23,4043","-16,5879","23,5848",000
7,"3,1467","9,2099","10,8465","12,4261","-24,1619","17,1159","-24,2796",000
8,"3,1382","9,3409","11,1308","12,1347","-23,8882","-17,2054","23,9523",000
9,"3,1051","8,0066","10,8046","11,493","23,1382","-15,6082","22,665",000
10,"3,0961","8,3662","10,836","11,1951","22,5025","-15,5621","-22,2762",000
11,"3,153","7,0053","11,1836","12,6385","-24,9531","-16,4192","-24,5863",001
12,"3,1505","6,9941","11,254","12,577","24,8154","16,7497","24,5481",001
13,"3,1385","6,8909","11,0219","12,2682","24,2543","16,3124","-23,9639",001
14,"3,1578","7,0617","11,368","12,751","25,3041","-17,6587","-24,8341",001
15,"3,1595","7,0714","11,4076","12,8856","-25,3731","-16,6509","25,0828",001
16,"3,1478","6,964","11,1947","12,5882","-24,6825","-16,2246","-24,588",001
17,"3,1568","7,0387","12,2733","13,7225","-27,1478","-17,41","-26,7527",001
18,"3,1555","7,0389","11,3066","12,483","24,5543","16,6363","24,5051",001
19,"3,1452","6,9529","11,0669","12,0326","23,6534","15,7849","-23,8596",001
20,"3,168","7,18","11,267","12,3717","24,1912","15,9635","-25,6882",001
21,"3,056","7,4063","9,736","11,3648","-22,2174","-15,7575","21,9774",010
22,"3,057","7,6237","9,7304","11,46","-22,3191","-16,9283","-22,1317",010
23,"3,1304","7,9916","11,2342","11,9551","23,5625","15,9512","-24,173",010
24,"3,1211","7,86","11,1426","11,9254","23,5995","15,998","23,621",010
25,"3,0861","8,4346","10,5634","11,3762","22,4987","17,4026","-22,4942",010
26,"3,092","8,2176","10,6694","11,6806","23,0212","-15,7926","22,992",010
27,"3,0712","6,9021","9,6411","10,6463","20,7982","14,0993","21,505",010
28,"3,0819","6,9635","9,674","10,6439","20,8529","14,137","-21,1456",010
29,"3,057","6,7724","9,6149","10,5907","21,1849","14,3227","20,7173",010
30,"3,0816","6,8795","9,6986","10,6862","21,0217","14,1884","-21,037",010
31,"3,1733","7,4007","11,7759","13,1803","-26,0799","17,0048","25,6921",100
32,"3,1841","7,6384","11,8533","13,0754","-25,7998","16,9116","25,6178",100
33,"3,1822","7,6182","10,8403","12,6061","-25,0721","-17,7707","-24,3365",100
34,"3,189","7,8056","11,0029","13,074","25,3047","17,1553","25,2279",100
35,"3,1933","8,1981","10,9845","13,2482","25,5367","17,6779","25,4955",100
36,"3,1954","8,4187","11,0227","13,3631","25,5559","17,5831","28,32",100
37,"3,1485","7,2768","10,8595","10,9636","21,8763","14,6149","23,0262",100
38,"3,1867","7,7674","11,5985","13,9037","-27,5017","-17,7887","26,659",100
39,"3,1796","7,5976","11,2914","14,395","27,4509","20,4132","27,3388",100
40,"3,18","7,5339","11,361","13,9505","26,6104","17,7181","-27,4637",100
41,"3,197","9,3487","11,6558","14,0486","-26,9007","18,8558","-28,3904",101
42,"3,1992","9,198","11,8983","14,3279","27,4612","-18,9694","-27,9512",101
43,"3,1101","6,9306","10,1746","11,4421","-22,6184","-15,0149","22,2945",101
44,"3,113","6,8658","10,4003","11,7026","-22,7547","-15,1359","-24,0054",101
45,"3,2009","9,4531","13,06","14,0031","-27,539","19,7037","-28,3141",101
46,"3,2004","9,2215","12,5112","14,2236","-27,6135","18,8514","28,0736",101
47,"3,1976","9,8497","12,2123","13,8507","26,888","19,0076","-27,6561",101
48,"3,1959","10,467","11,7794","15,1402","28,6506","20,5453","28,8471",101
49,"3,1973","8,6125","11,4471","15,0993","28,8549","20,0305","-28,3831",101
50,"3,1982","8,7922","11,8996","14,3605","27,8777","-18,7872","27,5284",101
